Team,Lorde,100,58,69,-7,31,42,193,17,9
Love Me Again,John Newman,126,89,50,-5,10,21,240,0,4
Latch,Disclosure,122,73,50,-5,9,52,256,2,17
Adore You,Miley Cyrus,120,66,58,-5,11,20,279,11,3
Love Never Felt So Good,Michael Jackson,118,72,78,-6,7,71,246,13,4
Burn,Ellie Goulding,87,78,56,-5,11,33,231,31,4
She Looks So Perfect,5 Seconds of Summer,160,95,49,-4,33,44,202,0,13
Fancy,Iggy Azalea,95,72,91,-4,5,38,200,9,7
Talk Dirty (feat. 2 Chainz),Jason Derulo,100,65,76,-7,31,76,178,3,23
Gorilla,Bruno Mars,140,54,72,-7,10,64,244,45,4
human,Christina Perri,144,49,44,-6,11,25,251,13,4
Young Girls,Bruno Mars,126,75,56,-5,21,50,229,46,3
Wiggle (feat. Snoop Dogg),Jason Derulo,82,62,70,-7,16,72,193,8,25
Love Runs Out,OneRepublic,120,93,72,-4,8,74,225,17,6
This Is How We Do,Katy Perry,96,64,69,-6,15,80,204,2,5
Mmm Yeah (feat. Pitbull),Austin Mahone,126,92,71,-4,27,98,232,0,4
A Little Party Never Killed Nobody (All We Got),Fergie,130,62,76,-6,9,52,241,1,18
#SELFIE,The Chainsmokers,128,92,79,-3,8,66,184,1,25
Partition,Beyonce,186,44,41,-12,31,17,319,3,29
Birthday,Katy Perry,126,67,72,-5,11,84,215,9,7
G.U.Y.,Lady Gaga,110,92,62,-3,12,57,233,1,4
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,128,74,60,-3,9,46,217,11,4
"Let It Go - From ""Frozen / Single Version",Demi Lovato,140,66,50,-6,27,25,226,3,4
Wings,Birdy,83,71,47,-5,16,22,252,8,3
Can't Remember to Forget You (feat. Rihanna),Shakira,138,81,69,-4,14,82,207,12,7
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,192,77,35,-4,12,4,191,6,5
Say Something,A Great Big World,138,15,45,-9,9,9,229,87,3
A Sky Full of Stars,Coldplay,125,68,55,-6,21,16,268,1,3
Come Get It Bae,Pharrell Williams,120,80,93,-6,10,90,202,27,8
Chandelier,Sia,174,78,29,-3,7,62,216,2,7
XO,Beyonce,170,79,47,-9,31,21,216,17,26
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,125,94,60,-4,10,55,222,0,7
Not About Angels,Birdy,116,14,41,-10,9,23,190,97,4
Drunk in Love,Beyonce,140,62,59,-7,18,40,323,1,5
Anaconda,Nicki Minaj,130,60,96,-6,21,65,260,7,18
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr鋞er,Charli XCX,92,81,68,-4,34,64,169,7,6
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,128,82,80,-5,35,61,198,18,4
Tee Shirt - Soundtrack Version,Birdy,76,34,68,-9,9,56,160,84,3
Words as Weapons,Birdy,120,35,53,-9,14,19,239,28,3
You're Mine (Eternal),Mariah Carey,149,58,63,-7,38,56,224,28,7
Sheezus,Lily Allen,130,50,78,-7,11,39,235,15,4
Cannonball,Lea Michele,92,82,56,-3,19,57,215,2,5
It's On Again - Main Soundtrack,Alicia Keys,110,54,64,-9,25,53,230,10,11
I Luh Ya Papi,Jennifer Lopez,96,73,74,-6,12,59,207,45,42
Not a Bad Thing,Justin Timberlake,86,73,59,-6,38,46,266,27,6
Thinking out Loud,Ed Sheeran,79,45,78,-6,18,59,282,47,3
I'm Not The Only One,Sam Smith,82,49,68,-6,8,49,239,53,4
The Hills,The Weeknd,113,56,58,-7,14,14,242,7,5
Love Yourself,Justin Bieber,100,38,61,-10,28,52,234,84,44
Uptown Funk,Mark Ronson,115,61,86,-7,3,93,270,1,8
Take Me To Church,Hozier,129,66,57,-5,12,44,242,63,5
Sugar,Maroon 5,120,79,75,-7,9,88,235,6,3
Sorry,Justin Bieber,100,76,65,-4,30,41,201,8,5
FourFiveSeconds,Rihanna,206,27,58,-6,13,35,188,88,5
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,190,61,26,-7,13,28,253,25,5
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,120,38,66,-6,10,44,252,39,3
What Do You Mean?,Justin Bieber,125,57,85,-8,8,79,206,59,10
Stitches,Shawn Mendes,150,75,75,-7,5,76,207,2,7
Want to Want Me,Jason Derulo,114,68,78,-6,11,66,208,1,6
My House,Flo Rida,94,70,69,-5,13,74,192,2,5
Waves - Robin Schulz Radio Edit,Mr. Probz,120,51,83,-9,8,45,208,1,4
Night Changes,One Direction,120,52,67,-8,12,37,227,86,4
How Deep Is Your Love,Calvin Harris,122,87,74,-4,39,34,213,4,7
Never Forget You,Zara Larsson,146,73,58,-6,27,28,213,0,5
Love Me Harder,Ariana Grande,99,71,47,-4,8,24,236,1,3
Animals,Maroon 5,190,74,28,-6,59,33,231,0,9
Blame,Calvin Harris,128,86,41,-4,34,35,213,3,8
Worth It,Fifth Harmony,100,77,88,-4,12,59,225,6,9
Break Free,Ariana Grande,130,70,69,-5,20,28,215,1,5
Don't,Ed Sheeran,95,61,81,-7,64,85,220,1,7
Elastic Heart,Sia,130,79,42,-5,15,50,257,1,5
Rather Be (feat. Jess Glynne),Clean Bandit,121,59,80,-7,19,55,228,16,4
Hello,Adele,158,45,48,-6,9,29,295,34,3
Dear Future Husband,Meghan Trainor,79,78,66,-5,32,83,184,38,19
43776,Beyonce,136,71,75,-5,13,56,214,1,13
The Heart Wants What It Wants,Selena Gomez,83,79,62,-5,14,62,227,5,4
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,86,73,60,-4,33,53,193,24,15
Genie In a Bottle,Christina Aguilera,176,80,63,-7,14,91,218,21,16
Company,Justin Bieber,95,80,59,-5,8,43,208,13,6
Sing,Ed Sheeran,120,67,82,-4,6,94,235,30,5
Jealous - Remix,Nick Jonas,93,71,68,-4,44,45,222,1,8
Really Don't Care,Demi Lovato,121,73,71,-4,19,85,202,12,9
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,110,61,83,-4,29,71,293,9,7
Only Love Can Hurt Like This,Paloma Faith,91,89,57,-5,33,31,233,10,8
Heartbeat Song,Kelly Clarkson,149,80,49,-4,6,48,199,1,5
Up,Olly Murs,115,85,69,-5,10,64,224,2,3
Trumpets,Jason Derulo,82,70,63,-5,10,64,217,56,24
Runnin' (Lose It All),Naughty Boy,139,85,32,-6,48,8,213,1,8
Same Old Love,Selena Gomez,98,59,67,-4,21,44,229,2,3
I Want You To Know,Zedd,130,85,58,-3,14,37,240,1,6
Lips Are Movin,Meghan Trainor,139,83,78,-5,11,95,183,5,5
I'll Show You,Justin Bieber,192,61,36,-7,18,8,200,5,10
Here,Alessia Cara,120,82,38,-4,8,33,199,8,10
I Lived,OneRepublic,120,85,59,-5,27,34,235,7,4
Fireball (feat. John Ryan),Pitbull,123,94,69,-5,5,79,235,9,6
Easy Love,Sigala,124,94,68,-4,12,65,230,18,6
The Feeling,Justin Bieber,127,81,53,-6,10,21,245,8,6
I Really Like You,Carly Rae Jepsen,122,81,62,-5,22,60,205,1,4
BO$$,Fifth Harmony,103,87,81,-5,5,74,171,1,11
Sugar,Maroon 5,120,79,75,-7,9,88,235,6,3
Focus,Ariana Grande,100,88,67,-6,44,79,211,27,24
All About That Bass,Meghan Trainor,134,88,81,-4,11,96,189,5,5
On My Mind,Ellie Goulding,155,71,70,-7,9,74,213,26,5
Love Me Like You,Little Mix,106,67,79,-4,28,85,198,21,4
Broken Arrows,Avicii,116,67,63,-7,10,29,233,5,5
Booty,Jennifer Lopez,129,95,71,-4,26,40,210,0,5
What Do You Mean? - Acoustic,Justin Bieber,125,36,77,-11,10,76,204,79,4
Mark My Words,Justin Bieber,114,26,38,-9,17,52,134,88,3
Lay It All on Me,Rudimental,123,75,67,-7,19,48,242,14,4
American Oxygen,Rihanna,78,75,39,-6,33,48,320,5,9
Bang Bang,Jessie J,150,75,71,-4,38,73,199,27,9
Reality - Radio Edit,Lost Frequencies,122,70,71,-8,7,60,159,2,3
Alive,Sia,100,76,51,-4,11,44,264,25,5
Sugar (feat. Francesco Yates),Robin Schulz,123,82,64,-5,16,64,219,2,6
Been You,Justin Bieber,113,78,74,-6,32,86,199,2,7
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,123,89,76,-5,62,78,189,2,3
See You Again (feat. Charlie Puth),Wiz Khalifa,80,48,69,-8,6,28,230,37,8
Heroes (we could be),Alesso,126,75,52,-4,24,35,210,4,6
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,156,60,47,-6,9,4,292,33,5
Perfect,One Direction,100,82,65,-5,12,40,230,6,8
Ghosttown,Madonna,79,55,54,-7,12,9,250,4,4
Bang My Head (feat. Sia & Fetty Wap),David Guetta,108,87,60,-4,10,59,193,5,8
Bloodstream,Ed Sheeran,89,59,48,-6,6,27,309,20,5
Living For Love,Madonna,123,79,67,-5,25,39,219,4,9
Baby Don't Lie,Gwen Stefani,100,55,69,-5,10,26,203,1,3
Don't Be so Hard on Yourself,Jess Glynne,120,82,57,-3,16,66,211,6,3
Steal My Girl,One Direction,77,76,47,-6,14,52,227,0,4
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,127,85,68,-3,6,93,193,1,6
We Are Here,Alicia Keys,93,67,64,-6,8,8,285,43,4
St Jude,Florence + The Machine,117,43,26,-11,11,9,225,75,3
Yesterday (feat. Bebe Rexha),David Guetta,128,78,57,-4,33,28,243,2,3
Time of Our Lives,Pitbull,124,80,72,-6,69,72,229,9,6
Sparks,Hilary Duff,122,88,85,-5,10,79,186,4,6
Mr. Put It Down,Ricky Martin,128,78,80,-6,4,83,196,1,18
Legendary Lovers,Katy Perry,126,84,62,-5,8,39,224,2,8
Spark The Fire,Gwen Stefani,120,80,88,-4,20,54,202,8,6
Run Run Run,Kelly Clarkson,112,37,28,-7,11,8,273,45,4
Let Me Be Your Lover,Enrique Iglesias,112,90,72,-4,6,88,238,1,13
Dangerous,Jennifer Hudson,109,53,90,-5,8,65,255,0,5
L.A.LOVE (la la),Fergie,202,39,48,-8,26,27,193,2,9
The Hills,The Weeknd,113,56,58,-7,14,14,242,7,5
Love Yourself,Justin Bieber,100,38,61,-10,28,52,234,84,44
Cake By The Ocean,DNCE,119,75,77,-5,4,90,219,15,5
